,0
128,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5842-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-estudos-ambientais/np-estudos-integrados/np-biomas.html
129,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5786-informacoes-sobre-organizacao-do-territorio/np-analises-do-territorio/np-brasil-uma-visao-geografica-e-ambiental-no-inicio-do-seculo-xxi.html
130,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5791-informacoes-sobre-organizacao-do-territorio/np-tipologias-do-territorio/np-caracteristicas-urbanisticas-do-entorno-dos-domicilios-2010.html
131,https://www.ibge.gov.br/estatisticas-novoportal/economicas/0853-imagens-do-territorio/np-imagens-corrigidas/np-cartas-imagem.html
132,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6257-informacoes-sobre-posicionamento-geodesico/np-sirgas/np-centro-de-analise-ibge.html
133,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5790-informacoes-sobre-organizacao-do-territorio/np-tipologias-do-territorio/np-classificacao-e-caracterizacao-dos-espacos-rurais-e-urbanos-do-brasil.html
134,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5817-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-recursos-naturais/np-climatologia/np-clima.html
135,https://www.ibge.gov.br/estatisticas-novoportal/economicas/0867-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-cobertura-e-uso-da-terra/np-mapeamento-de-cobertura-e-uso-da-terra/np-cobertura-e-uso-da-terra.html
136,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5831-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-cobertura-e-uso-da-terra/np-mapeamento-de-cobertura-e-uso-da-terra/np-cobertura-e-uso-da-terra-do-brasil.html
137,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5830-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-cobertura-e-uso-da-terra/np-mapeamento-de-cobertura-e-uso-da-terra/np-cobertura-e-uso-da-terra-no-estado-de-ro-rr-se-ac-ap-am-ma-mt-pa-rj-e-rs.html
138,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6386-metodos-e-outros-documentos-de-referencia/np-outros-documentos-tecnicos/np-curso-de-cartografia-moderna.html
139,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5955-cartas-e-mapas/np-mapas-do-brasil/np-sociedade-e-economia/np-densidade-demografica.html
140,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5959-cartas-e-mapas/np-mapas-do-brasil/np-sociedade-e-economia/np-densidade-demografica-e-rede-coletora-de-esgoto.html
141,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6390-metodos-e-outros-documentos-de-referencia/np-outros-documentos-tecnicos/np-dez-anos-de-monitoramento-do-nivel-do-mar-no-ibge.html
